server,peer,combination,delay,chaincode,payload,send rate,max lat,min lat,avg lat,TPS,link1,link2,link3,link4,link5,link6,link7,server1,server2,server3,server4,server5,server6,server7,server8
5,6,11112,50.100.200.250,Create,100,786.2,0.82,0.05,0.27,616.1,50,100,200,250,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.250,Create,1000,771.0,1.92,0.06,0.27,452.7,50,100,200,250,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.250,Create,4000,769.5,1.6,0.07,0.31,531.8,50,100,200,250,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.250,Create,7000,784.9,4.58,0.08,0.47,324.8,50,100,200,250,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.250,Create,10000,772.8,4.97,0.09,0.94,339.6,50,100,200,250,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.250,Create,13000,329.8,1.19,0.06,0.25,281.3,50,100,200,250,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.250,Create,16000,395.6,2.51,0.06,0.39,304.0,50,100,200,250,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.250,Create,19000,394.9,11.25,0.06,1.81,159.9,50,100,200,250,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.250.350,Create,100,785.2,2.48,0.06,0.32,407.9,50,100,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.250.350,Create,1000,773.7,1.95,0.06,0.32,457.4,50,100,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.250.350,Create,4000,769.5,3.8,0.07,0.37,318.1,50,100,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.250.350,Create,7000,776.1,3.17,0.09,0.51,415.0,50,100,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.250.350,Create,10000,565.9,2.3,0.08,0.42,465.3,50,100,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.250.350,Create,13000,396.8,6.4,0.06,0.52,203.1,50,100,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.250.350,Create,16000,394.1,3.61,0.07,0.4,280.3,50,100,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.250.350,Create,19000,395.3,10.6,0.06,1.03,161.3,50,100,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.350,Create,100,780.9,0.92,0.05,0.3,604.6,50,100,200,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.350,Create,1000,772.2,1.44,0.06,0.31,509.8,50,100,200,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.350,Create,4000,770.4,1.91,0.07,0.37,454.1,50,100,200,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.350,Create,7000,782.8,3.71,0.09,0.52,403.5,50,100,200,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.350,Create,10000,785.2,7.8,0.1,1.11,235.9,50,100,200,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.350,Create,13000,331.2,1.85,0.05,0.26,310.1,50,100,200,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.350,Create,16000,395.1,8.67,0.06,0.94,173.6,50,100,200,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.100.200.350,Create,19000,394.8,4.62,0.07,0.57,278.2,50,100,200,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.200.250.350,Create,100,788.6,0.94,0.05,0.33,606.6,50,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.200.250.350,Create,1000,772.8,2.86,0.06,0.34,375.6,50,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.200.250.350,Create,4000,777.3,1.54,0.08,0.38,530.6,50,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.200.250.350,Create,7000,356.6,4.07,0.05,0.37,343.1,50,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.200.250.350,Create,10000,779.4,7.1,0.08,1.05,231.5,50,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.200.250.350,Create,13000,394.4,2.05,0.06,0.34,334.3,50,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.200.250.350,Create,16000,394.1,11.49,0.06,1.1,159.0,50,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,50.200.250.350,Create,19000,394.5,14.02,0.07,1.15,120.6,50,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,100.200.250.350,Create,100,776.4,0.95,0.05,0.34,599.7,100,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,100.200.250.350,Create,1000,776.4,1.84,0.05,0.36,483.6,100,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,100.200.250.350,Create,4000,763.4,2.77,0.08,0.43,381.7,100,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,100.200.250.350,Create,7000,779.1,5.2,0.08,0.71,290.7,100,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,100.200.250.350,Create,10000,763.1,3.22,0.1,1.32,377.9,100,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,100.200.250.350,Create,13000,396.0,10.42,0.06,0.84,160.5,100,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,100.200.250.350,Create,16000,331.2,4.72,0.06,0.61,241.7,100,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11112,100.200.250.350,Create,19000,392.9,13.22,0.08,2.01,134.7,100,200,250,350,0,0,0,1,1,1,1,2,0,0,0
5,6,11121,50.100.200.250,Create,100,789.3,0.82,0.05,0.26,625.0,50,100,200,250,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.250,Create,1000,779.4,0.67,0.05,0.25,695.7,50,100,200,250,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.250,Create,4000,776.4,0.58,0.07,0.16,638.8,50,100,200,250,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.250,Create,7000,781.6,0.6,0.1,0.36,703.7,50,100,200,250,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.250,Create,10000,775.8,1.11,0.11,0.78,561.2,50,100,200,250,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.250,Create,13000,393.8,0.47,0.06,0.11,378.9,50,100,200,250,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.250,Create,16000,394.9,0.58,0.07,0.29,378.9,50,100,200,250,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.250,Create,19000,395.5,0.74,0.07,0.5,355.8,50,100,200,250,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.350,Create,100,785.9,1.25,0.04,0.33,588.2,50,100,200,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.350,Create,1000,775.8,0.83,0.06,0.3,655.5,50,100,200,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.350,Create,4000,771.9,1.77,0.07,0.33,468.9,50,100,200,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.350,Create,7000,774.9,2.3,0.08,0.44,474.0,50,100,200,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.350,Create,10000,773.7,7.56,0.08,0.98,224.0,50,100,200,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.350,Create,13000,397.3,9.86,0.06,0.65,183.0,50,100,200,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.350,Create,16000,330.6,5.38,0.07,0.42,265.8,50,100,200,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.200.350,Create,19000,394.6,9.28,0.06,1.13,185.4,50,100,200,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.250.350,Create,100,780.0,1.02,0.05,0.3,587.5,50,100,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.250.350,Create,1000,772.5,1.13,0.05,0.32,612.9,50,100,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.250.350,Create,4000,771.3,1.46,0.07,0.35,541.6,50,100,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.250.350,Create,7000,775.5,2.78,0.08,0.49,420.4,50,100,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.250.350,Create,10000,774.0,6.37,0.07,1.0,267.6,50,100,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.250.350,Create,13000,347.9,7.45,0.06,0.79,177.8,50,100,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.250.350,Create,16000,285.8,18.17,0.06,1.24,106.5,50,100,250,350,0,0,0,1,1,1,2,1,0,0,0
5,6,11121,50.100.250.350,Create,19000,330.7,13.71,0.06,1.44,138.3,50,100,250,350,0,0,0,1,1,1,2,1,0,0,0
